,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,69.0,75,68,59
Inventory Days,27.0,34,46,46
Days Payable,68.0,66,39,50
Cash Conversion Cycle,28.0,43,76,55
Working Capital Days,43.0,53,80,68
ROCE %,,31,33,31
