,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,50.0,52,29,30
Inventory Days,14.0,22,36,21
Days Payable,35.0,20,16,19
Cash Conversion Cycle,29.0,55,49,32
Working Capital Days,42.0,66,54,36
ROCE %,,8,7,22
