,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,35.0,16,14,19
Inventory Days,64.0,48,39,44
Days Payable,268.0,217,157,164
Cash Conversion Cycle,-169.0,-152,-104,-101
Working Capital Days,39.0,-4,-9,-17
ROCE %,,7,17,21
