,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,72.15,72.15,72.31,72.34,72.66,72.66,72.66,72.66
FIIs,1.43,0.04,0.03,0.0,0.0,0.01,0.02,0.0
DIIs,9.06,6.58,6.86,7.21,3.51,1.26,0.31,0.23
Public,17.36,21.23,20.79,20.45,23.83,26.07,27.02,27.12
No. of Shareholders,53552.0,46992.0,46949.0,45472.0,51163.0,67248.0,65656.0,73575.0
