,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01
Sales,2.33,1.55,2.07,1.72,1.80,1.83,1.92
Expenses,2.11,1.4,2.04,1.62,1.79,1.82,1.9
Operating Profit,0.22,0.15,0.03,0.1,0.01,0.01,0.02
OPM %,9.44,9.68,1.45,5.81,0.56,0.55,1.04
Other Income,0.0,0.0,0.0,0.0,0.00,0.0,0.0
Interest,0.03,0.02,0.01,0.01,0.01,0.0,0.0
Depreciation,0.0,0.0,0.0,0.0,0.00,0.0,0.0
Profit before tax,0.19,0.13,0.02,0.09,0.00,0.01,0.02
Tax %,26.32,23.08,0.0,22.22,,0.0,0.0
Net Profit,0.14,0.09,0.01,0.07,0.00,0.01,0.01
EPS in Rs,0.23,0.15,0.02,0.12,0.00,0.02,0.02
