,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0.01,0.02,2.22,2.52,12.07,15.7,4.66,3.62,3.51,3.74
Expenses,0.01,0.02,2.16,2.45,11.59,15.26,4.25,3.44,3.39,3.71
Operating Profit,0.00,0.00,0.06,0.07,0.48,0.44,0.41,0.18,0.12,0.03
OPM %,0.00,0.00,2.7,2.78,3.98,2.8,8.8,4.97,3.42,0.8
Other Income,0.00,0.00,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0
Interest,0.00,0.00,0.0,0.0,0.0,0.03,0.05,0.04,0.03,0.0
Depreciation,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,0.00,0.00,0.06,0.07,0.48,0.38,0.36,0.14,0.09,0.03
Tax %,,,33.33,28.57,27.08,26.32,25.0,28.57,22.22,33.33
Net Profit,0.00,0.00,0.04,0.05,0.35,0.28,0.27,0.1,0.07,0.02
EPS in Rs,0.00,0.00,40.0,50.0,350.0,2.49,0.45,0.17,0.12,0.03
