,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,0.01,0.01,0.01,0.01,0.01,1.12,6.0,6.0,6.0,6.0
Reserves,0.0,0.0,0.04,0.09,0.44,1.84,5.86,5.97,6.03,
Borrowings,0.0,0.0,1.85,1.99,2.46,0.0,0.24,0.28,0.13,
Other Liabilities,0.0,1.97,0.27,0.17,0.37,0.21,0.36,0.38,0.42,
Total Liabilities,0.01,1.98,2.17,2.26,3.28,3.17,12.46,12.63,12.58,
Fixed Assets,0.0,1.97,1.97,1.97,1.97,1.97,1.97,3.48,3.48,
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other Assets,0.01,0.01,0.2,0.29,1.31,1.2,10.49,9.15,9.1,
Total Assets,0.01,1.98,2.17,2.26,3.28,3.17,12.46,12.63,12.58,
