,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.19,17.02,22.16,24.45,25.1,28.63,30.4,33.74,28.16,25.69,30.04,34.44,34.50
Expenses,11.4,13.09,17.85,19.3,19.95,23.85,24.06,26.48,24.62,21.57,21.14,24.17,24.20
Operating Profit,3.79,3.93,4.31,5.15,5.15,4.78,6.34,7.26,3.54,4.12,8.9,10.27,10.30
OPM %,24.95,23.09,19.45,21.06,20.52,16.7,20.86,21.52,12.57,16.04,29.63,29.82,29.86
Other Income,0.38,0.06,0.1,0.63,-0.05,0.86,0.35,0.25,-2.8,0.49,0.12,2.47,2.36
Interest,1.44,1.13,1.19,1.57,1.23,1.47,1.59,1.54,1.89,2.82,3.23,3.52,3.43
Depreciation,1.42,1.42,1.59,2.83,2.73,2.86,3.16,3.68,4.56,4.6,5.43,5.5,5.58
Profit before tax,1.31,1.44,1.63,1.38,1.14,1.31,1.94,2.29,-5.71,-2.81,0.36,3.72,3.65
Tax %,23.66,29.17,28.83,36.23,36.84,32.06,29.9,30.13,32.05,7.12,44.44,13.71,
Net Profit,1.01,1.02,1.17,0.88,0.72,0.89,1.35,1.6,-3.88,-2.61,0.21,3.21,3.23
EPS in Rs,1.52,1.53,1.68,1.26,1.03,1.28,1.94,2.3,-5.57,-3.75,0.3,4.61,4.63
