,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.05,0.26,6.5600000000000005,10.2,10.2
Reserves,0.0,-0.07,0.72,6.71,5.85,14.17,14.93
Borrowings,2.13,2.13,2.21,1.6,0.21,3.4,44.11
Other Liabilities,0.0,0.07,6.53,4.55,0.8200000000000001,1.19,18.34
Total Liabilities,2.14,2.14,9.51,13.12,13.44,28.96,87.58
Fixed Assets,0.0,0.0,0.04,0.02,0.25,1.08,1.5
CWIP,0.0,0.0,0.0,0.08,0.08,0.08,0.08
Investments,2.13,2.13,2.13,2.13,0.01,0.0,0.0
Other Assets,0.01,0.01,7.34,10.89,13.1,27.8,86.0
Total Assets,2.14,2.14,9.51,13.12,13.44,28.96,87.58
