,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.00,7.62,7.01,11.28,16.16,39.14
Expenses,0.0,0.07,7.0,5.92,8.56,14.56,37.10
Operating Profit,0.0,-0.07,0.62,1.09,2.72,1.6,2.04
OPM %,,,8.14,15.55,24.11,9.9,5.21
Other Income,0.0,0.00,0.41,0.0,-1.23,0.1,0.12
Interest,0.0,0.00,0.02,0.01,0.0,0.06,0.09
Depreciation,0.0,0.00,0.01,0.02,0.04,0.25,0.40
Profit before tax,0.0,-0.07,1.0,1.06,1.45,1.39,1.67
Tax %,,0.00,21.0,30.19,25.52,25.18,
Net Profit,0.0,-0.07,0.79,0.75,1.08,1.04,1.41
EPS in Rs,0.0,-70.00,158.0,28.86,1.65,1.02,1.39
