,2022-09-01,2023-03-01,2023-09-01
Sales,5.76,10.41,28.73
Expenses,5.22,9.36,27.74
Operating Profit,0.54,1.05,0.99
OPM %,9.38,10.09,3.45
Other Income,0.0,0.1,0.02
Interest,0.0,0.05,0.04
Depreciation,0.05,0.2,0.2
Profit before tax,0.49,0.9,0.77
Tax %,20.41,26.67,0.0
Net Profit,0.39,0.65,0.76
EPS in Rs,0.38,0.64,0.75
