,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,5,5,5,5,5,5,10,10,10,11
Reserves,26,38,45,47,46,48,45,46,45,47,56,61,63
Borrowings,34,39,44,43,17,1,8,15,23,35,51,74,76
Other Liabilities,23,25,23,23,22,7,11,20,10,24,30,23,20
Total Liabilities,87,108,117,118,90,61,69,86,83,116,146,169,170
Fixed Assets,41,57,60,57,8,10,11,11,15,16,28,48,51
CWIP,0,0,0,0,0,0,0,0,0,1,0,1,0
Investments,3,3,3,3,3,15,23,19,13,17,24,27,28
Other Assets,43,48,54,57,79,36,34,56,55,81,94,93,92
Total Assets,87,108,117,118,90,61,69,86,83,116,146,169,170
