,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,5,5,5,5,5,5,5,5.0
Reserves,10,-101,-265,-374,-477,-629,-771,-896,-907.0
Preference Capital,0,0,112,112,0,0,0,732,
Borrowings,858,1144,1229,1701,2010,2424,2931,2570,3583.0
Other Liabilities,349,237,300,412,444,442,586,1672,1343.0
Total Liabilities,1217,1285,1269,1744,1983,2243,2751,3350,4024.0
Fixed Assets,644,634,622,614,603,593,1235,1606,1773.0
CWIP,33,35,49,316,459,636,306,79,1.0
Investments,11,11,11,12,13,11,13,19,20.0
Other Assets,529,604,588,802,907,1003,1196,1646,2231.0
Total Assets,1217,1285,1269,1744,1983,2243,2751,3350,4024.0
