,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
Expenses,0.17,0.23,0.13,2.34,0.14,0.33,3.33,0.20,0.17,0.28,1.08,0.20,0.22
Operating Profit,-0.17,-0.23,-0.13,-2.34,-0.14,-0.33,-3.33,-0.20,-0.17,-0.28,-1.07,-0.20,-0.22
OPM %,,,,,,,,,,,-10700.0,,
Other Income,0.09,0.09,0.07,0.01,0.95,78.86,103.63,0.37,0.01,0.51,1.81,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
Depreciation,0.04,0.01,0.12,0.03,0.02,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.00
Profit before tax,-0.12,-0.15,-0.18,-2.36,0.79,78.50,100.27,0.14,-0.18,0.20,0.7,-0.23,-0.22
Tax %,0.00,0.00,0.00,0.00,10.13,3.52,10.97,0.00,0.00,0.00,-465.71,0.00,0.00
Net Profit,-0.12,-0.15,-0.18,-2.36,0.71,75.74,89.27,0.14,-0.18,0.20,3.96,-0.23,-0.22
EPS in Rs,-0.10,-0.12,-0.14,-1.89,0.57,60.60,71.42,0.11,-0.14,0.16,3.17,-0.18,-0.18
