,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,120.19,183.71,88.19,64.04,70.22,55.96,56.01,68.8,67.45,69.65
Expenses,72.66,100.29,63.65,47.81,52.2,40.39,40.84,57.28,53.64,54.38
Operating Profit,47.53,83.42,24.54,16.23,18.02,15.57,15.17,11.52,13.81,15.27
OPM %,39.55,45.41,27.83,25.34,25.66,27.82,27.08,16.74,20.47,21.92
Other Income,0.96,0.12,0.84,1.6,0.38,0.75,0.35,-15.07,0.4,0.23
Interest,0.68,0.71,0.5,1.03,1.22,1.18,1.95,1.67,2.19,2.41
Depreciation,2.06,2.65,3.19,2.75,3.13,3.83,3.54,4.42,4.78,4.88
Profit before tax,45.75,80.18,21.69,14.05,14.05,11.31,10.03,-9.64,7.24,8.21
Tax %,24.92,25.59,26.74,25.27,24.91,20.07,27.92,23.65,24.72,23.75
Net Profit,34.35,59.66,15.89,10.51,10.55,9.05,7.23,-7.36,5.45,6.26
EPS in Rs,33.1,57.5,15.31,10.13,10.17,8.72,6.97,-7.09,5.25,6.03
