,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,31.05,10.31,9.46,8.82,93.89,26.12,18.88,16.86
Expenses,38.21,16.02,14.3,10.99,84.13,23.99,14.45,10.16
Operating Profit,-7.16,-5.71,-4.84,-2.17,9.76,2.13,4.43,6.70
OPM %,-23.06,-55.38,-51.16,-24.6,10.4,8.15,23.46,39.74
Other Income,0.07,0.04,0.76,47.85,7.01,0.69,0.94,1.52
Interest,2.27,7.76,9.95,12.23,11.73,10.31,9.32,10.17
Depreciation,0.12,0.5,0.72,0.87,1.11,1.1,1.14,1.23
Profit before tax,-9.48,-13.93,-14.75,32.58,3.93,-8.59,-5.09,-3.18
Tax %,1.69,1.44,0.2,1.1,-340.97,41.56,12.57,
Net Profit,-9.32,-13.72,-14.72,32.22,17.33,-5.03,-4.45,-1.78
EPS in Rs,-372.8,-548.8,-588.8,1288.8,693.2,-201.2,-178.0,-71.20
