,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,42.13,43.84,39.21,59.34,58.27,65.61,86.41,94.77,73.04,83.74,92.68,76.97,76.51
Expenses,40.56,39.09,42.13,54.42,54.67,60.55,65.66,86.68,65.58,75.86,70.88,68.02,68.79
Operating Profit,1.57,4.75,-2.92,4.92,3.60,5.06,20.75,8.09,7.46,7.88,21.8,8.95,7.72
OPM %,3.73,10.83,-7.45,8.29,6.18,7.71,24.01,8.54,10.21,9.41,23.52,11.63,10.09
Other Income,2.11,0.36,0.65,0.09,0.07,0.17,0.11,0.36,0.55,0.48,0.73,0.93,1.88
Interest,3.34,6.61,2.47,2.48,3.46,4.22,6.72,6.78,4.66,1.19,2.4,2.64,3.50
Depreciation,1.88,1.69,1.60,3.48,1.36,1.1,0.96,0.88,1.16,1.64,2.09,2.8,3.49
Profit before tax,-1.54,-3.19,-6.34,-0.95,-1.15,-0.09,13.18,0.79,2.19,5.53,18.04,4.44,2.61
Tax %,18.18,-0.31,23.03,115.79,-24.35,655.56,39.53,-140.51,28.77,29.29,26.27,28.83,
Net Profit,-1.26,-3.19,-4.87,0.16,-1.43,0.5,7.97,1.9,1.57,3.92,13.31,3.16,2.51
EPS in Rs,,,,,,0.07,1.09,0.26,0.21,0.53,1.78,0.4,0.32
