,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,0.0,0.0,0.0,0.0,37.17,56.37,55.92
FIIs,16.91,25.06,22.52,21.27,14.01,10.49,11.11
DIIs,10.6,12.41,18.97,7.6,5.21,3.98,4.03
Public,72.49,62.53,58.51,71.13,43.6,29.16,28.93
No. of Shareholders,21200.0,24065.0,25951.0,49354.0,103525.0,145872.0,163545.0
