,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,85.94,63.26,64.21,64.68,68.56,68.56,67.23
FIIs,0.0,0.17,0.17,0.0,0.0,0.05,0.01
DIIs,0.0,0.0,3.15,0.0,0.0,0.0,0.0
Public,14.06,36.57,32.47,35.32,31.44,31.39,32.77
No. of Shareholders,39.0,242.0,246.0,255.0,953.0,3214.0,4565.0
