,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,86.45,60.75,70.35,85.65,90.65,103.07,92.36,81.0,78.41,90.41
Expenses,83.15,58.45,67.31,82.67,86.22,97.77,88.46,87.11,75.32,87.36
Operating Profit,3.3,2.3,3.04,2.98,4.43,5.3,3.9,-6.11,3.09,3.05
OPM %,3.82,3.79,4.32,3.48,4.89,5.14,4.22,-7.54,3.94,3.37
Other Income,0.96,0.95,0.42,0.92,0.46,0.14,0.59,0.25,0.27,0.45
Interest,0.62,0.37,0.37,0.38,0.35,0.48,0.42,0.14,0.11,0.24
Depreciation,0.67,0.65,0.61,0.59,0.39,0.62,0.8,0.75,0.58,0.56
Profit before tax,2.97,2.23,2.48,2.93,4.15,4.34,3.27,-6.75,2.67,2.7
Tax %,26.6,26.91,25.81,25.94,24.58,25.35,26.91,24.44,22.47,27.78
Net Profit,2.19,1.63,1.84,2.17,3.13,3.24,2.39,-5.09,2.07,1.95
EPS in Rs,1.04,0.77,0.87,1.03,1.48,1.54,1.13,-2.41,0.98,0.92
