,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.05,4.05,5.51,5.51,5.51,11.02,11.02,11.02,11.02
Reserves,-1.41,0.15,8.69,10.95,13.25,10.42,12.92,17.04,17.74
Borrowings,25.32,24.99,16.15,12.87,3.87,8.88,3.13,1.0,1.0
Other Liabilities,7.25,6.49,13.77,7.81,11.0,10.73,11.61,9.63,5.03
Total Liabilities,35.21,35.68,44.12,37.14,33.63,41.05,38.68,38.69,34.79
Fixed Assets,13.15,16.88,14.88,12.65,13.18,13.81,13.84,12.68,12.99
CWIP,4.3,0.0,1.18,2.32,1.78,0.97,0.98,1.53,2.06
Investments,0.0,0.0,0.0,1.95,3.09,2.03,0.0,0.0,0.0
Other Assets,17.76,18.8,28.06,20.22,15.58,24.24,23.86,24.48,19.74
Total Assets,35.21,35.68,44.12,37.14,33.63,41.05,38.68,38.69,34.79
