,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.82,34.44,47.78,54.9,45.42,47.38,40.33,61.35,45.32
Expenses,21.83,28.54,40.61,48.73,39.4,41.31,34.65,54.06,40.75
Operating Profit,4.99,5.9,7.17,6.17,6.02,6.07,5.68,7.29,4.57
OPM %,18.61,17.13,15.01,11.24,13.25,12.81,14.08,11.88,10.08
Other Income,0.1,0.51,0.23,0.35,0.35,0.56,0.46,1.35,0.31
Interest,3.07,3.48,3.33,1.63,0.99,0.58,0.37,0.39,0.31
Depreciation,1.49,2.07,2.15,2.35,2.29,2.41,2.32,2.08,1.74
Profit before tax,0.53,0.86,1.92,2.54,3.09,3.64,3.45,6.17,2.83
Tax %,66.04,-81.4,43.23,11.02,25.89,26.37,25.51,33.23,
Net Profit,0.19,1.55,1.09,2.26,2.3,2.68,2.57,4.12,1.63
EPS in Rs,0.23,1.91,0.99,2.05,2.09,2.43,2.33,3.74,1.47
