,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,211.0,121.0,229.0,200.0,189
Expenses,216.0,150.0,232.0,200.0,208
Operating Profit,-5.0,-29.0,-3.0,-0.0,-19
OPM %,-2.0,-24.0,-1.0,-0.0,-10
Other Income,277.0,0.0,2.0,12.0,19
Interest,27.0,24.0,10.0,6.0,5
Depreciation,8.0,10.0,7.0,8.0,9
Profit before tax,237.0,-64.0,-18.0,-3.0,-14
Tax %,2.0,17.0,11.0,-245.0,
Net Profit,232.0,-53.0,-16.0,-10.0,-21
EPS in Rs,59412.0,-9.88,-3.0,-2.41,-4.97
