,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,2,5,5,5,5,11,11
Reserves,860,124,938,926,989,1065,1068,1071
Borrowings,37,17,25,29,24,10,73,107
Other Liabilities,77,869,90,113,131,159,151,157
Total Liabilities,975,1011,1059,1073,1149,1240,1303,1346
Fixed Assets,684,659,639,661,709,709,691,691
CWIP,2,5,6,12,17,60,202,239
Investments,117,150,178,117,112,130,139,142
Other Assets,172,198,235,283,311,341,272,275
Total Assets,975,1011,1059,1073,1149,1240,1303,1346
