,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,1.0,1,86,77,92,117,107,100,94,86,73
Inventory Days,1.0,1,101,74,55,72,67,123,83,96,85
Days Payable,3.0,2,229,172,167,140,152,204,156,193,145
Cash Conversion Cycle,-1.0,0,-42,-20,-20,48,22,18,21,-11,13
Working Capital Days,0.0,0,16,23,35,76,73,3,-11,37,43
ROCE %,,706,-1,9,5,18,-4,-18,14,-37,2
