,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,11,35,32,37,7,10,6,-6,-8,-18,-14,-14
Borrowings,8,18,17,16,19,30,30,22,21,49,52,52
Other Liabilities,70,77,67,70,52,57,55,76,97,73,68,70
Total Liabilities,95,137,122,130,84,103,98,98,117,110,112,115
Fixed Assets,60,90,76,78,37,45,44,41,43,41,44,44
CWIP,0,0,0,0,0,0,0,0,0,0,1,0
Investments,0,0,0,0,3,0,0,0,0,0,0,0
Other Assets,35,47,46,52,44,58,54,57,74,69,68,71
Total Assets,95,137,122,130,84,103,98,98,117,110,112,115
