,2011-03-01,2012-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,45.08,45.08,45.08,45.08,45.08,45.08,45.08,45.08,45.08,45.08,45.08
Reserves,-40.45,-44.74,-1.84,-1.84,-1.84,-1.84,-1.89,-1.99,-1.91,-1.9,-1.89
Borrowings,0.0,0.0,0.0,0.0,0.0,0.23,0.16,0.16,0.16,0.68,0.0
Other Liabilities,0.09,0.1,-0.01,-0.01,-0.01,0.0,0.01,0.07,0.1,0.02,0.02
Total Liabilities,4.72,0.44,43.23,43.23,43.23,43.47,43.36,43.32,43.43,43.88,43.21
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,4.72,0.44,43.23,43.23,43.23,43.47,43.36,43.32,43.43,43.88,43.21
Total Assets,4.72,0.44,43.23,43.23,43.23,43.47,43.36,43.32,43.43,43.88,43.21
