,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.0
Public,99.55,99.55,99.55,99.55,99.55,99.55,99.55,99.99,100.0
No. of Shareholders,1512.0,1512.0,1512.0,1512.0,1572.0,1584.0,1584.0,4237.0,3749.0
