,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.5700000000000001,0.6000000000000001,0.81,0.81,0.81
Reserves,-0.04,-0.03,-0.48,0.92,3.12,2.72,2.6
Borrowings,0.0,0.0,0.0,0.11,0.01,0.0,0.0
Other Liabilities,0.35,0.6900000000000001,0.6000000000000001,0.18,0.28,0.32,0.41
Total Liabilities,0.32,0.67,0.6900000000000001,1.81,4.22,3.85,3.82
Fixed Assets,0.0,0.0,0.02,0.01,0.02,0.02,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Other Assets,0.32,0.67,0.67,1.8,4.2,3.81,3.81
Total Assets,0.32,0.67,0.6900000000000001,1.81,4.22,3.85,3.82
