,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,61.51,62.1,62.1,62.1,62.1,62.1,62.1,62.1
DIIs,0.0,0.0,0.0,2.11,2.11,2.11,2.11,2.11
Public,38.49,37.9,37.9,35.8,35.8,35.8,35.79,35.8
No. of Shareholders,1307.0,1209.0,1211.0,1219.0,1219.0,1472.0,1592.0,1570.0
