,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08
Reserves,-0.07,-0.1,0.6000000000000001,1.41,1.26,-1.06,-1.46,-1.45
Borrowings,0.07,4.79,2.59,12.25,18.23,17.36,15.56,14.18
Other Liabilities,2.71,14.44,18.57,12.88,6.11,7.91,2.9,6.92
Total Liabilities,5.79,22.21,24.84,29.62,28.68,27.29,20.08,22.73
Fixed Assets,0.66,3.78,3.31,3.07,6.6,6.6,5.49,5.62
CWIP,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.01
Other Assets,3.5700000000000003,18.43,21.53,26.55,22.08,20.49,14.58,17.1
Total Assets,5.79,22.21,24.84,29.62,28.68,27.29,20.08,22.73
