,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.35,32.2,67.06,89.4,39.42,53.4,50.85,45.53
Expenses,4.47,31.92,65.65,87.98,39.09,54.03,50.0,44.55
Operating Profit,-1.12,0.28,1.41,1.42,0.33,-0.63,0.85,0.98
OPM %,-33.43,0.87,2.1,1.59,0.84,-1.18,1.67,2.15
Other Income,1.68,1.24,1.31,1.23,1.6,0.48,0.36,0.33
Interest,0.01,0.46,1.5,1.29,1.56,1.63,1.35,1.29
Depreciation,0.12,0.12,0.32,0.3,0.34,0.41,0.28,0.21
Profit before tax,0.43,0.94,0.9,1.06,0.03,-2.19,-0.42,-0.19
Tax %,2.33,44.68,23.33,23.58,600.0,-5.48,9.52,
Net Profit,0.42,0.52,0.7,0.81,-0.15,-2.32,-0.38,-0.14
EPS in Rs,1.36,1.69,2.27,2.63,-0.49,-7.54,-1.3,-0.59
