,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1
DIIs,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,4.42,2.11,2.11,2.11
Public,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.79,33.48,35.79,35.79,35.8
No. of Shareholders,1226.0,1219.0,1244.0,1263.0,1359.0,1472.0,1531.0,1547.0,1585.0,1592.0,1620.0,1570.0
