,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,302.9,132.4,84.75,79.98,159.81,93.51,73.65
Inventory Days,0.0,50.01,18.54,,,,55.4
Days Payable,,160.93,101.3,,,,46.45
Cash Conversion Cycle,302.9,21.48,1.99,79.98,159.81,93.51,82.6
Working Capital Days,70.82,36.5,12.74,53.28,142.22,85.17,83.91
ROCE %,,25.81,34.05,20.34,7.84,-2.72,5.51
