,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,73,73,73,73,73,73,73,73,73
Reserves,2854,3282,3748,4222,4522,5301,5826,6066,5926
Borrowings,295,353,291,247,205,498,594,597,535
Other Liabilities,671,726,859,988,1090,1282,1484,1599,1692
Total Liabilities,3894,4435,4970,5531,5891,7154,7977,8335,8227
Fixed Assets,1821,2073,2104,2300,2610,2587,2702,4250,4698
CWIP,83,151,252,307,445,1109,1787,544,39
Investments,854,1016,1145,1065,1242,2092,2110,1831,1888
Other Assets,1136,1196,1469,1858,1594,1366,1379,1710,1602
Total Assets,3894,4435,4970,5531,5891,7154,7977,8335,8227
