,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11.40,12.18,14.84,19.03,18.61,21.3,22.64,26.03,23.05,26.28,19.75,21.46,26.83
Expenses,7.36,8.8,10.98,14.32,14.53,15.38,17.95,19.63,20.19,21.64,19.13,20.58,24.10
Operating Profit,4.04,3.38,3.86,4.71,4.08,5.92,4.69,6.4,2.86,4.64,0.62,0.88,2.73
OPM %,35.44,27.75,26.01,24.75,21.92,27.79,20.72,24.59,12.41,17.66,3.14,4.1,10.18
Other Income,0.49,0.54,0.76,1.16,0.88,0.69,1.26,1.18,1.72,1.07,1.54,1.96,1.85
Interest,0.24,0.46,0.22,0.18,0.15,0.56,0.53,0.45,0.42,0.5,0.38,0.39,0.42
Depreciation,1.01,1.25,0.84,0.99,0.64,1.37,1.34,1.34,1.62,1.7,1.49,1.44,1.41
Profit before tax,3.28,2.21,3.56,4.7,4.17,4.68,4.08,5.79,2.54,3.51,0.29,1.01,2.75
Tax %,32.62,33.03,30.9,27.02,28.06,30.13,25.49,27.46,3.94,29.63,62.07,35.64,
Net Profit,2.21,1.48,2.46,3.42,3.0,3.27,3.03,4.2,2.44,2.48,0.11,0.65,1.95
EPS in Rs,,24.67,3.04,3.11,2.73,2.98,2.76,3.82,2.22,2.26,0.1,0.59,1.77
