,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,148.99,141.03,125.53,132.07,155.26,151.35,201.34,180.42,181.93,204.43,175.06,136.07,128.21
Expenses,148.23,139.84,126.4,131.17,154.55,148.82,210.36,180.18,187.22,204.27,177.86,135.96,127.94
Operating Profit,0.76,1.19,-0.87,0.9,0.71,2.53,-9.02,0.24,-5.29,0.16,-2.8,0.11,0.27
OPM %,0.51,0.84,-0.69,0.68,0.46,1.67,-4.48,0.13,-2.91,0.08,-1.6,0.08,0.21
Other Income,-1.99,0.98,-2.93,0.03,-0.49,-0.16,7.61,0.07,0.1,5.39,1.58,0.23,0.13
Interest,0.16,0.03,0.01,0.0,0.04,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.52,0.4,0.4,0.41,0.13,0.22,0.22,0.21,0.22,0.22,0.22,0.11,0.09
Profit before tax,-1.91,1.74,-4.21,0.52,0.05,2.15,-1.6,0.1,-5.41,5.33,-1.44,0.23,0.31
Tax %,-6.81,5.75,-3.33,32.69,220.0,33.02,71.25,0.0,4.25,2.44,12.5,26.09,0.0
Net Profit,-2.03,1.65,-4.35,0.35,-0.06,1.44,-0.47,0.09,-5.17,5.2,-1.26,0.17,0.32
EPS in Rs,-0.61,0.49,-1.3,0.1,-0.02,0.43,-0.14,0.03,-1.55,1.55,-0.38,0.05,0.1
