,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.66,4.95,5.94,7.71,1.2,4.88,8.3,8.46
Expenses,3.94,3.59,4.76,6.81,4.43,8.32,6.86,7.51
Operating Profit,0.72,1.36,1.18,0.9,-3.23,-3.44,1.44,0.95
OPM %,15.45,27.47,19.87,11.67,-269.17,-70.49,17.35,11.23
Other Income,0.11,0.07,0.08,0.02,0.04,-0.38,0.25,0.28
Interest,0.01,0.01,0.01,0.03,0.06,0.01,0.04,0.00
Depreciation,0.14,0.33,0.52,0.49,0.39,0.29,0.37,0.35
Profit before tax,0.68,1.09,0.73,0.4,-3.64,-4.12,1.28,0.88
Tax %,30.88,25.69,27.4,42.5,0.55,0.0,-1.56,
Net Profit,0.47,0.81,0.53,0.24,-3.62,-4.12,1.3,0.92
EPS in Rs,0.72,0.91,0.6,0.24,-3.55,-4.04,1.28,0.91
