,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.11,2.89,2.89,3.29,10.19,10.19,10.19,10.19
Reserves,0.63,4.71,5.24,8.28,-2.24,-6.36,-5.06,-5.0
Borrowings,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.72
Other Liabilities,0.67,0.84,1.16,1.4,1.28,1.21,1.13,1.12
Total Liabilities,3.42,8.45,9.29,12.97,9.23,5.04,6.26,7.03
Fixed Assets,0.34,1.08,1.24,1.18,0.87,0.8300000000000001,0.81,0.86
CWIP,0.0,0.19,0.22,0.23,0.24,0.24,0.28,0.28
Investments,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0
Other Assets,3.08,7.18,7.83,10.96,7.52,3.97,5.17,5.89
Total Assets,3.42,8.45,9.29,12.97,9.23,5.04,6.26,7.03
