,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1432,0,1138.0,1761.0,2298.0,2360
Expenses,419,5,300.0,385.0,744.0,667
Operating Profit,1013,-5,838.0,1376.0,1553.0,1693
OPM %,71,,74.0,78.0,68.0,72
Other Income,260,0,22.0,-68.0,-116.0,-118
Interest,446,0,171.0,264.0,343.0,410
Depreciation,220,0,209.0,329.0,355.0,375
Profit before tax,607,-5,479.0,714.0,738.0,790
Tax %,15,0,30.0,37.0,58.0,
Net Profit,515,-5,335.0,447.0,308.0,380
EPS in Rs,,,5.18,7.15,4.78,5.99
