,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,50,0,16284,16284,16284,16284.0
Reserves,1581,-5,19,-663,-1501,-1802.0
Preference Capital,103,0,0,0,0,
Borrowings,6059,0,3774,4461,5466,6407.0
Other Liabilities,1442,5,2169,2205,2427,2632.0
Total Liabilities,9132,0,22246,22287,22676,23520.0
Fixed Assets,6052,0,21199,21223,21431,21864.0
CWIP,2,0,2,0,0,0.0
Investments,1,0,2,2,3,3.0
Other Assets,3077,0,1043,1061,1242,1652.0
Total Assets,9132,0,22246,22287,22676,23520.0
