,2016-03-01,2017-03-01,2023-03-01
Sales,81.78,32.76,9.03
Expenses,81.71,32.65,9.12
Operating Profit,0.07,0.11,-0.09
OPM %,0.09,0.34,-1.0
Other Income,0.11,0.12,0.14
Interest,0.01,0.01,0.18
Depreciation,0.11,0.15,0.13
Profit before tax,0.06,0.07,-0.26
Tax %,16.67,14.29,7.69
Net Profit,0.05,0.06,-0.25
EPS in Rs,0.01,0.01,-0.04
