,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03
Reserves,0.04,-0.27,-0.23,0.12,0.18,0.26,0.63,0.34,0.25,0.17,0.17,0.13
Borrowings,0.0,0.03,0.0,0.59,0.36,0.38,0.37,0.06,0.02,0.13,0.18,0.23
Other Liabilities,0.0,0.0,0.0,0.08,0.01,0.0,0.04,0.06,0.0,0.01,0.01,0.02
Total Liabilities,3.07,2.79,2.8,3.82,3.58,3.67,4.07,3.49,3.3,3.34,3.39,3.41
Fixed Assets,0.3,0.24,0.18,0.12,0.61,0.53,0.48,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.75,2.54,2.43,3.13,2.59,2.78,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.02,0.01,0.19,0.5700000000000001,0.38,0.36,3.59,3.49,3.3,3.34,3.39,3.41
Total Assets,3.07,2.79,2.8,3.82,3.58,3.67,4.07,3.49,3.3,3.34,3.39,3.41
