,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,86,86,114,114,114,114,114,114,114,114,114,114
Reserves,1095,-429,-2341,-4204,-3128,-6589,-7356,-12809,-15693,-15846,-16618,-17620
Borrowings,13119,11249,10448,11903,10813,9078,8403,7684,8659,3586,3546,3561
Other Liabilities,6580,8133,10529,11562,11913,10075,11359,16126,13893,18337,18718,19577
Total Liabilities,20879,19039,18749,19374,19712,12677,12521,11115,6972,6191,5760,5632
Fixed Assets,13782,10777,9635,9231,8805,4895,3608,3343,1891,1244,1071,891
CWIP,2,0,0,19,4,709,25,0,0,0,0,0
Investments,1646,1646,1641,696,1196,1231,697,696,696,696,696,696
Other Assets,5449,6616,7473,9428,9707,5841,8191,7076,4384,4251,3993,4045
Total Assets,20879,19039,18749,19374,19712,12677,12521,11115,6972,6191,5760,5632
