,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,41.74,37.21,32.27,27.06,39.18,52.63,52.75
Expenses,0.0,0.0,38.01,33.54,29.25,24.48,36.51,49.29,49.37
Operating Profit,0.0,0.0,3.73,3.67,3.02,2.58,2.67,3.34,3.38
OPM %,,,8.94,9.86,9.36,9.53,6.81,6.35,6.41
Other Income,0.0,0.0,0.21,0.27,0.36,0.07,0.03,0.01,0.00
Interest,0.0,0.0,1.76,2.0,1.9,1.2,1.15,1.64,1.75
Depreciation,0.0,0.0,1.44,1.67,1.31,1.31,1.29,1.2,1.06
Profit before tax,0.0,0.0,0.74,0.27,0.17,0.14,0.26,0.51,0.57
Tax %,,,24.32,48.15,41.18,28.57,23.08,29.41,
Net Profit,0.0,0.0,0.56,0.14,0.1,0.1,0.2,0.36,0.42
EPS in Rs,,,0.05,0.01,0.01,0.01,0.02,0.03,0.04
