,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.05,0.05,10.8,10.8,10.8,10.8,10.8,10.8,10.8
Reserves,0.0,0.0,0.41,0.46,0.52,0.6900000000000001,0.93,1.33,1.53
Borrowings,0.0,0.0,22.78,23.46,26.62,27.93,29.42,28.63,28.39
Other Liabilities,0.0,0.0,19.15,13.53,14.95,15.77,24.76,26.51,23.24
Total Liabilities,0.05,0.05,53.14,48.25,52.89,55.19,65.91,67.27,63.96
Fixed Assets,0.0,0.0,11.05,10.37,9.54,8.52,7.97,7.51,7.14
CWIP,0.0,0.01,0.65,0.03,0.03,0.04,0.03,0.03,0.13
Investments,0.0,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Other Assets,0.05,0.04,41.38,37.79,43.26,46.57,57.85,59.67,56.63
Total Assets,0.05,0.05,53.14,48.25,52.89,55.19,65.91,67.27,63.96
