,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,38.13,48.69,49.29,40.49,39.6,36.37,40.23
Expenses,31.55,41.22,37.52,32.11,31.69,31.12,33.43
Operating Profit,6.58,7.47,11.77,8.38,7.91,5.25,6.8
OPM %,17.26,15.34,23.88,20.7,19.97,14.43,16.9
Other Income,2.5,1.78,-0.51,0.33,1.17,1.04,2.01
Interest,1.17,1.15,0.75,0.84,0.83,0.91,1.43
Depreciation,2.83,0.48,3.9,2.71,2.34,1.7,1.79
Profit before tax,5.08,7.62,6.61,5.16,5.91,3.68,5.59
Tax %,1.18,0.92,8.47,5.04,2.71,40.76,39.89
Net Profit,5.02,7.54,6.05,4.9,5.75,2.18,3.36
EPS in Rs,1.48,2.23,1.79,1.45,1.36,0.51,0.64
