,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,163.0,176.0,190.0,178.0,157
Expenses,123.0,128.0,148.0,143.0,128
Operating Profit,41.0,48.0,42.0,36.0,28
OPM %,25.0,27.0,22.0,20.0,18
Other Income,2.0,3.0,8.0,3.0,5
Interest,5.0,3.0,3.0,4.0,4
Depreciation,17.0,13.0,11.0,9.0,9
Profit before tax,21.0,35.0,36.0,25.0,20
Tax %,-1.0,2.0,1.0,4.0,
Net Profit,21.0,34.0,36.0,24.0,16
EPS in Rs,32.5,52.61,10.52,5.72,3.96
