,Mar 2010,Mar 2011,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,48.27,88.21,139.96,142.67,148.5,177.79,154.83,47.58,27.98,31.63,12.86,18.18
Expenses,47.51,86.74,136.9,136.94,139.52,167.42,160.21,69.75,45.52,37.23,16.01,21.40
Operating Profit,0.76,1.47,3.06,5.73,8.98,10.37,-5.38,-22.17,-17.54,-5.6,-3.15,-3.22
OPM %,1.57,1.67,2.19,4.02,6.05,5.83,-3.47,-46.6,-62.69,-17.7,-24.49,-17.71
Other Income,0.11,0.02,2.78,0.09,-0.1,0.09,-6.25,2.07,0.02,2.0,3.61,7.26
Interest,0.53,0.98,3.18,3.92,4.83,4.97,5.8,3.06,0.55,0.06,0.22,0.04
Depreciation,0.16,0.22,0.38,0.39,0.39,0.4,0.51,0.57,0.5,0.43,0.33,0.30
Profit before tax,0.18,0.29,2.28,1.51,3.66,5.09,-17.94,-23.73,-18.57,-4.09,-0.09,3.70
Tax %,33.33,31.03,22.81,37.75,38.52,37.72,11.54,0.0,0.0,0.0,0.0,
Net Profit,0.13,0.2,1.77,0.94,2.26,3.17,-15.87,-23.73,-18.57,-4.09,-0.09,3.69
EPS in Rs,5.2,3.9,5.66,3.01,7.23,3.09,-15.47,-23.13,-18.1,-3.99,-0.09,3.60
