,2010-03-01,2011-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.25,0.25,3.13,3.13,3.13,10.26,10.26,10.26,10.26,10.26,10.26,10.26
Reserves,1.58,1.58,6.84,7.78,10.24,22.28,6.41,-17.32,-35.88,-39.98,-40.07,-40.36
Borrowings,7.02,7.02,28.19,34.54,35.6,48.61,56.66,47.5,46.76,43.62,35.76,31.86
Other Liabilities,3.88,3.88,10.38,12.76,12.0,8.99,12.34,18.0,13.54,13.46,12.35,16.23
Total Liabilities,12.73,12.73,48.54,58.21,60.97,90.14,85.67,58.44,34.68,27.36,18.3,17.99
Fixed Assets,1.39,1.39,4.37,4.01,3.86,3.8,4.45,15.65,15.99,15.63,9.94,9.81
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,11.34,11.34,44.17,54.2,57.11,86.34,81.22,42.79,18.69,11.73,8.36,8.18
Total Assets,12.73,12.73,48.54,58.21,60.97,90.14,85.67,58.44,34.68,27.36,18.3,17.99
