,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,80.73,20.98,49.77,8.18,20.06,13.82,17.84,5.03,7.85,10.33
Expenses,96.75,24.38,69.91,13.56,32.2,15.53,21.71,6.67,9.58,11.82
Operating Profit,-16.02,-3.4,-20.14,-5.38,-12.14,-1.71,-3.87,-1.64,-1.73,-1.49
OPM %,-19.84,-16.21,-40.47,-65.77,-60.52,-12.37,-21.69,-32.6,-22.04,-14.42
Other Income,0.04,0.51,0.0,0.0,0.0,0.01,1.91,-2.25,5.86,1.4
Interest,2.97,2.46,3.02,0.33,0.22,0.0,0.0,0.0,0.0,0.04
Depreciation,0.24,0.29,0.57,0.25,0.25,0.22,0.22,0.19,0.14,0.16
Profit before tax,-19.19,-5.64,-23.73,-5.96,-12.61,-1.92,-2.18,-4.08,3.99,-0.29
Tax %,12.56,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-16.78,-5.62,-23.73,-5.96,-12.61,-1.92,-2.18,-4.08,3.99,-0.3
EPS in Rs,-16.35,-5.48,-23.13,-5.81,-12.29,-1.87,-2.12,-3.98,3.89,-0.29
