,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,286.0,303.0,283.0,288.0,299.0,301.0,313.0,327.0,343.0,373.0,416.0,391.0,377.0
Expenses,253.0,264.0,242.0,246.0,249.0,250.0,262.0,279.0,292.0,314.0,332.0,323.0,318.0
Operating Profit,33.0,39.0,42.0,41.0,50.0,51.0,51.0,48.0,52.0,59.0,84.0,68.0,59.0
OPM %,12.0,13.0,15.0,14.0,17.0,17.0,16.0,15.0,15.0,16.0,20.0,17.0,16.0
Other Income,1.0,3.0,3.0,14.0,4.0,6.0,11.0,13.0,10.0,11.0,5.0,9.0,9.0
Interest,2.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Depreciation,10.0,11.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Profit before tax,23.0,32.0,35.0,47.0,46.0,48.0,52.0,52.0,52.0,60.0,80.0,67.0,59.0
Tax %,26.0,24.0,17.0,16.0,24.0,24.0,13.0,17.0,24.0,25.0,27.0,19.0,16.0
Net Profit,17.0,24.0,29.0,39.0,35.0,36.0,45.0,43.0,39.0,45.0,58.0,55.0,49.0
EPS in Rs,2.62,3.76,4.86,6.72,5.99,6.27,7.74,7.36,6.78,7.78,10.13,9.34,8.35
