,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,16.0,17.0,19.0,42.0,123.0,79.0,107.0
Expenses,10.0,10.0,12.0,17.0,88.0,45.0,71.0
Operating Profit,7.0,7.0,8.0,25.0,35.0,34.0,36.0
OPM %,41.0,38.0,40.0,59.0,28.0,43.0,34.0
Other Income,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Interest,1.0,1.0,1.0,2.0,1.0,1.0,2.0
Depreciation,1.0,1.0,1.0,1.0,2.0,2.0,3.0
Profit before tax,5.0,4.0,6.0,22.0,32.0,31.0,33.0
Tax %,25.0,31.0,24.0,26.0,26.0,25.0,25.0
Net Profit,4.0,3.0,5.0,16.0,24.0,23.0,24.0
EPS in Rs,15.2,2.96,4.05,15.83,23.08,21.69,22.4
