,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11.0,11.0,24.0,33.0,61.0,202.0,186
Expenses,8.0,6.0,16.0,20.0,29.0,133.0,116
Operating Profit,3.0,4.0,8.0,13.0,32.0,69.0,70
OPM %,24.0,41.0,32.0,39.0,53.0,34.0,38
Other Income,0.0,0.0,0.0,0.0,1.0,1.0,2
Interest,0.0,1.0,1.0,1.0,2.0,2.0,3
Depreciation,0.0,1.0,2.0,2.0,2.0,4.0,5
Profit before tax,2.0,3.0,5.0,9.0,28.0,63.0,64
Tax %,34.0,10.0,20.0,28.0,25.0,26.0,
Net Profit,1.0,3.0,5.0,7.0,21.0,47.0,48
EPS in Rs,1320.0,7.6,18.16,6.72,19.89,43.56,44.09
