,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.71,23.19,8.76,8.22,3.52,3.17,18.11,13.6,7.73
Expenses,15.02,23.1,8.76,8.01,4.16,2.83,18.43,14.08,8.26
Operating Profit,-0.31,0.09,0.0,0.21,-0.64,0.34,-0.32,-0.48,-0.53
OPM %,-2.11,0.39,0.0,2.55,-18.18,10.73,-1.77,-3.53,-6.86
Other Income,0.03,0.17,0.22,0.09,0.07,0.07,0.02,0.06,0.11
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03
Depreciation,0.12,0.2,0.17,0.16,0.15,0.14,0.13,0.13,0.13
Profit before tax,-0.4,0.06,0.05,0.14,-0.72,0.27,-0.45,-0.58,-0.58
Tax %,10.0,-116.67,100.0,0.0,-1.39,3.7,102.22,22.41,
Net Profit,-0.37,0.13,0.01,0.14,-0.73,0.26,0.01,-0.45,-0.45
EPS in Rs,-0.26,0.09,0.01,0.1,-0.51,0.18,0.01,-0.31,-0.31
