,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45
Reserves,-0.35,1.29,6.4,6.5600000000000005,5.3,5.22,7.21,6.64,6.82
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.36,0.36
Other Liabilities,0.21,3.5700000000000003,2.5,2.54,2.53,2.31,1.85,1.85,1.98
Total Liabilities,14.31,19.31,23.35,23.55,22.28,21.98,23.79,23.3,23.61
Fixed Assets,3.36,3.18,3.01,2.85,2.71,2.5700000000000003,2.44,2.34,2.3
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.33,8.91,14.71,15.23,14.57,13.99,16.0,16.28,16.63
Other Assets,8.62,7.22,5.63,5.47,5.0,5.42,5.35,4.68,4.68
Total Assets,14.31,19.31,23.35,23.55,22.28,21.98,23.79,23.3,23.61
