,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,89.75,87.21,68.09,41.26,54.77,67.44,52.41
Inventory Days,42.59,30.91,57.35,78.28,49.91,71.85,139.2
Days Payable,139.4,160.77,87.81,85.65,59.06,71.85,62.73
Cash Conversion Cycle,-7.07,-42.65,37.64,33.9,45.62,67.44,128.88
Working Capital Days,106.48,92.54,86.03,119.45,152.61,147.77,28.71
ROCE %,,6.32,10.52,8.08,14.07,11.82,10.84
