,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,41.89,43.78,55.75,55.55,59.65,61.21,65.61,70.13
Expenses,37.36,41.58,51.73,52.31,53.12,55.83,60.92,53.92
Operating Profit,4.53,2.2,4.02,3.24,6.53,5.38,4.69,16.21
OPM %,10.81,5.03,7.21,5.83,10.95,8.79,7.15,23.11
Other Income,0.12,0.91,0.78,1.06,0.15,1.38,3.95,0.00
Interest,0.71,0.73,0.79,0.75,0.74,0.88,1.35,2.33
Depreciation,0.84,0.92,0.98,1.0,0.88,0.79,0.92,2.23
Profit before tax,3.1,1.46,3.03,2.55,5.06,5.09,6.37,11.65
Tax %,12.9,42.47,26.4,27.06,20.16,22.99,22.76,
Net Profit,2.7,0.84,2.22,1.86,4.04,3.92,4.92,9.04
EPS in Rs,0.14,0.04,0.12,0.1,0.21,0.21,0.28,0.52
