,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12.65,12.65,12.65,12.65,12.65,12.65,18.02,17.74
Reserves,18.29,19.12,21.16,23.02,27.06,31.16,62.33,68.65
Borrowings,3.84,2.47,4.54,4.98,7.36,10.12,1.05,21.87
Other Liabilities,14.42,16.22,13.38,16.29,11.83,14.1,50.92,23.76
Total Liabilities,49.2,50.46,51.73,56.94,58.9,68.03,132.32,132.26
Fixed Assets,15.51,15.58,15.64,14.93,14.13,13.7,82.82,66.42
CWIP,0.23,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Investments,7.01,7.0,6.83,6.83,6.83,6.83,0.01,0.0
Other Assets,26.45,27.88,29.26,35.18,37.94,47.5,49.47,65.84
Total Assets,49.2,50.46,51.73,56.94,58.9,68.03,132.32,132.26
