,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,44.47,44.58,48.73,56.18,58.9,66.11,61.36,41.17,36.55,17.23,24.32,30.8,28.66
Expenses,41.11,40.99,45.3,52.3,55.55,62.14,57.66,37.7,32.66,15.25,22.13,26.87,24.20
Operating Profit,3.36,3.59,3.43,3.88,3.35,3.97,3.7,3.47,3.89,1.98,2.19,3.93,4.46
OPM %,7.56,8.05,7.04,6.91,5.69,6.01,6.03,8.43,10.64,11.49,9.0,12.76,15.56
Other Income,0.31,0.06,0.07,1.87,-0.02,0.05,0.55,0.22,0.15,-0.01,0.03,0.12,0.14
Interest,1.46,1.47,1.28,1.8,1.8,2.14,2.11,2.18,2.03,2.35,2.38,2.36,2.32
Depreciation,0.56,0.52,0.59,0.85,0.72,0.67,0.49,0.49,0.94,0.59,0.8,0.87,0.88
Profit before tax,1.65,1.66,1.63,3.1,0.81,1.21,1.65,1.02,1.07,-0.97,-0.96,0.82,1.40
Tax %,46.06,44.58,41.1,37.1,38.27,31.4,25.45,33.33,33.64,20.62,19.79,29.27,
Net Profit,0.88,0.92,0.97,2.0,0.51,0.82,1.22,0.68,0.7,-0.77,-0.77,0.58,0.92
EPS in Rs,1.71,1.71,1.8,3.72,0.95,1.52,2.27,1.26,1.3,-1.43,-1.43,1.08,1.70
