,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.95,17.56,20.11,32.13,34.21,34.11
Expenses,14.48,16.75,18.72,30.21,30.62,30.69
Operating Profit,0.47,0.81,1.39,1.92,3.59,3.42
OPM %,3.14,4.61,6.91,5.98,10.49,10.03
Other Income,0.1,0.01,-0.0,0.18,0.07,0.07
Interest,0.08,0.2,0.3,0.66,1.67,1.86
Depreciation,0.2,0.15,0.11,0.09,0.78,0.53
Profit before tax,0.29,0.47,0.98,1.35,1.21,1.10
Tax %,31.03,29.79,26.53,20.0,33.06,
Net Profit,0.2,0.33,0.73,1.07,0.82,0.82
EPS in Rs,200.0,330.0,730.0,4.4,3.37,3.37
