,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,9.17,22.96,9.56,24.64,9.47
Expenses,8.51,21.75,8.36,22.25,8.44
Operating Profit,0.66,1.21,1.2,2.39,1.03
OPM %,7.2,5.27,12.55,9.7,10.88
Other Income,0.01,0.17,-0.0,0.07,-0.0
Interest,0.23,0.39,0.57,1.09,0.77
Depreciation,0.04,0.05,0.25,0.53,-0.0
Profit before tax,0.4,0.94,0.38,0.84,0.26
Tax %,30.0,15.96,31.58,33.33,-0.0
Net Profit,0.28,0.79,0.26,0.56,0.26
EPS in Rs,1.72,3.25,1.07,2.3,1.07
