,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,72.59,69.9,69.9,69.91,69.91,63.17,55.96,55.99
FIIs,1.71,4.22,3.98,3.63,0.0,0.0,0.0,0.0
DIIs,3.87,5.29,6.26,6.48,6.44,3.82,3.82,3.82
Public,21.83,20.6,19.86,19.98,23.65,33.01,40.22,40.19
No. of Shareholders,6720.0,6714.0,7096.0,7212.0,8383.0,10183.0,9219.0,8370.0
