,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.92,0.59,2.07,4.72,8.22
Expenses,2.7,0.4,1.72,3.95,6.55
Operating Profit,0.22,0.19,0.35,0.77,1.67
OPM %,7.53,32.2,16.91,16.31,20.32
Other Income,0.01,0.02,0.0,0.27,0.29
Interest,0.09,0.1,0.17,0.45,0.42
Depreciation,0.07,0.09,0.09,0.12,0.12
Profit before tax,0.07,0.02,0.09,0.47,1.42
Tax %,28.57,100.0,55.56,25.53,
Net Profit,0.05,0.01,0.04,0.35,1.06
EPS in Rs,0.5,0.1,0.09,0.56,1.70
